Well	Sample Name	Description
A1	a	description for a
B1	b	description for b
C1	c	
D1	d	
E1	e	
F1	f	
G1	g	
H1	aa	
A2	bb	
B2	cc	
C2	dd	
D2	ee	
E2	ff	
F2	gg	
G2	hh	
H2	ii	
A3	jj	
B3	kk	
C3	ll	
D3	mm	
E3	nn	
F3	oo	
G3	pp	
H3	qq	
A4	rr	
B4	ss	
C4	tt	
D4	uu	
E4	vv	
F4	ww	
G4	xx	
H4	yy	
A5	zz	
B5	aaa	
C5	bbb	
D5	ccc	
E5	ddd	
F5	eee	
G5	fff	
H5	ggg	
A6	hhh	
B6	iii	
C6	jjj	
D6	kkk	
E6	lll	
F6	mmm	
G6	nnn	
H6	ooo	
A7	ppp	
B7	qqq	
C7	rrr	
D7	sss	
E7	ttt	
F7	uuu	
G7	vvv	
H7	www	
A8	xxx	
B8	yyy	
C8	zzz	
D8	aaaa	
E8	bbbb	
F8	cccc	
G8	dddd	
H8	eeee	
A9	ffff	
B9	gggg	
C9	hhhh	
D9	iiii	
E9	jjjj	
F9	kkkk	
G9	llll	
H9	mmmm	
A10	nnnn	
B10	oooo	
C10	pppp	
D10	qqqq	
E10	rrrr	
F10	ssss	
G10	tttt	
H10	uuuu	
A11	vvvv	
B11	wwww	
C11	xxxx	
D11	yyyy	
E11	zzzz	
F11	aaaaa	
G11	bbbbb	
H11	ccccc	
A12	ddddd	
B12	eeeee	
C12	fffff	
D12	gggggg	
E12	hhhhh	
F12	iiiii	
G12	jjjjj	last sample is in G12 (position 95)
